R1_USB	-135.89	165.10	0.00	5K1	CPF0201D7K68C1_0201
R2	-45.72	82.55	0.00	0	CPF0201D7K68C1_0201
R2_EP_DR	-16.51	168.91	0.00	10K	CPF0201D7K68C1_0201
R2_USB	-19.05	168.91	0.00	5K1	CPF0201D7K68C1_0201
R3	-8.89	83.82	0.00	0	CPF0201D7K68C1_0201
R4	-45.72	85.09	0.00	0	CPF0201D7K68C1_0201
R5	-26.67	168.91	0.00	10k	CPF0201D7K68C1_0201
R7	-29.21	168.91	0.00	10k	CPF0201D7K68C1_0201
R8	-31.75	168.91	0.00	10k	CPF0201D7K68C1_0201
R9	-46.99	110.49	0.00	10K	CPF0201D7K68C1_0201
R_PWR_EPD	-41.91	168.91	0.00	10K	CPF0201D7K68C1_0201
R_TYPE_SEL	-44.45	168.91	0.00	2.2	CPF0201D7K68C1_0201
SJ1	-17.78	110.49	0.00		ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN	-19.05	82.13	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT	-29.06	82.13	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP	-40.66	82.13	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V	-16.51	85.09	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_3V3	-36.83	85.09	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_BAT_GND	-31.75	96.52	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_GND	-19.05	85.09	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_ON	-34.29	96.52	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_OP	-34.29	93.98	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_RESET	-8.89	96.52	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SCL	-26.67	85.09	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA	-22.86	85.09	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDCLK	-8.89	93.98	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDIO	-8.89	91.44	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWO	-8.89	88.90	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VBAT	-36.83	96.52	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VREG	-34.29	85.09	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
U1	-24.13	92.71	0.00	NRF52840_QF	NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3	-35.56	80.01	0.00	MAX17048G+T10	ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1	-16.51	92.71	0.00	32MHz	NORDIC_NRF_BT-XTAL_2016_N
X2	-30.48	85.09	0.00	32.768kHz	NORDIC_NRF_1_XTAL_3215_N
